ZIP Code Standard,Zip Codes Clean,City ,State,County,Crime Rate ,Urban or Rural,Population (2010 US Census),Low Access Tract 1and10,Vehicle Access,Low Income Tracts,Poverty Rate,Poverty Tract (At or > 20%),Median Family Income,"Family Income Tract (At or < $59,039)",Low Access to Supermarket,Risk of Of Being Distant from SM,Access to Exercise (%),Lack of Exercise Access,High School Graduation Rate,Below National Average (84.6%),Percentage Unemployed,Unemployed Tract (National Average = 3.7%,Percentage Uninsured,Uninsured Tract (National Average = 8.8%
59463,59463,Monarch,Montana,Cascade,0,1,1910,0,0,1,25.8,1,48893,1,0,0,0.83,0,0.84,1,0.038,1,0.1,1
59465,59465,Neihart,Montana,Cascade,0,1,3328,0,0,1,29.3,1,35833,1,0,0,0.83,0,0.84,1,0.038,1,0.1,1
59483,59483,Sun River,Montana,Cascade,0,1,1910,0,0,1,25.8,1,48893,1,0,0,0.83,0,0.84,1,0.038,1,0.1,1
59301,59301,MILES CITY,Montana,Custer,0,1,1794,0,0,0,18.5,0,53393,1,1761.998919,1,0.72,0,0.84,1,0.032,0,0.08,0
59351,59351,Volborg,Montana,Custer,0,1,2291,0,0,0,8.7,0,71944,0,39.55474555,0,0.72,0,0.84,1,0.032,0,0.08,0
59339,59339,Lindsay,Montana,Dawson,0,1,2590,0,0,0,13.9,0,63973,0,2030.579668,1,0.67,1,0.89,0,0.032,0,0.08,0
59711,59711,Anaconda,Montana,Deer Lodge,0,1,2967,0,1,1,22,1,52652,1,150.3478351,0,0.73,0,0.8,1,0.036,0,0.09,1
59032,59032,GRASS RANGE,Montana,Fergus,0,1,6575,0,1,0,5.5,0,56056,1,1207.033069,1,0.72,0,0.87,0,0.04,1,0.09,1
59451,59451,Hilger,Montana,Fergus,0,1,6575,0,1,0,5.5,0,56056,1,1207.033069,1,0.72,0,0.87,0,0.04,1,0.09,1
59489,59489,Winifred,Montana,Fergus,0,1,6575,0,1,0,5.5,0,56056,1,1207.033069,1,0.72,0,0.87,0,0.04,1,0.09,1
59759,59759,Whitehall,Montana,Flathead,0,1,4261,0,0,0,12.1,0,52143,1,444.6624688,0,0.82,0,0.87,0,0.052,1,0.1,1
59718,59718,Bozeman,Montana,Gallatin,0,1,7355,0,0,0,10,0,57552,1,1810.097023,1,0.81,0,0.87,0,0.028,0,0.08,0
59719,59719,Bozeman,Montana,Gallatin,0,1,7355,0,0,0,10,0,57552,1,1810.097023,1,0.81,0,0.87,0,0.028,0,0.08,0
59730,59730,Gallatin Gateway,Montana,Gallatin,0,1,2006,0,0,0,4.8,0,89107,0,1876.03448,1,0.81,0,0.87,0,0.028,0,0.08,0
59501,59501,Havre,Montana,Hill,1,1,4480,0,1,0,11.7,0,59083,0,3388.967262,1,0.77,0,0.72,1,0.038,1,0.12,1
59847,59847,LOLO,Montana,Missoula,0,1,5712,0,0,0,13.5,0,86667,0,3759.872166,1,0.93,0,0.86,0,0.036,0,0.09,1
59082,59082,Springdale,Montana,Park,0,1,5048,0,1,0,8.5,0,59643,0,419.4967783,0,0.6,1,0.93,0,0.04,1,0.1,1
59221,59221,Fairview,Montana,Richland,0,1,3929,0,0,0,16.8,0,74318,0,2074.743742,1,0.5,1,0.9,0,0.038,1,0.09,1
59701,59701,Butte,Montana,Silver Bow,1,1,4919,0,0,1,42,1,26711,1,201.8005234,0,0.63,1,0.82,1,0.042,1,0.09,1
59748,59748,Ramsay,Montana,Silver Bow,0,1,3968,0,0,0,12.7,0,56667,1,0,0,0.63,1,0.82,1,0.042,1,0.09,1
59750,59750,Butte,Montana,Silver Bow,1,1,2380,0,0,1,22.4,1,44032,1,0,0,0.63,1,0.82,1,0.042,1,0.09,1
59225,59225,FRAZER,Montana,Valley,0,1,2793,0,0,0,15.6,0,59137,0,123.593389,0,0.64,1,0.87,0,0.033,0,0.13,1
59241,59241,Hinsdale,Montana,Valley,0,1,2793,0,0,0,15.6,0,59137,0,123.593389,0,0.64,1,0.87,0,0.033,0,0.13,1
