ZIP Code Standard,Zip Codes Clean,City ,State,County,Crime Rate ,Urban or Rural,Population (2010 US Census),Low Access Tract 1and10,Vehicle Access,Low Income Tracts,Poverty Rate,Poverty Tract (At or > 20%),Median Family Income,"Family Income Tract (At or < $59,039)",Low Access to Supermarket,Risk of Of Being Distant from SM,Access to Exercise (%),Lack of Exercise Access,High School Graduation Rate,Below National Average (84.6%),Percentage Unemployed,Unemployed Tract (National Average = 3.7%,Percentage Uninsured,Uninsured Tract (National Average = 8.8%
81652,81652,SILT,Colorado,Garfield,0,0,5934,0,0,0,16.6,0,62736,0,0,0,0.87,0,0.85,0,0.029,0,0.15,1
80422,80422,BLACK HAWK,Colorado,Gilpin,0,0,5441,0,1,0,10.3,0,82930,0,0,0,0.82,0,0.87,0,0.02,0,0.05,0
80474,80474,Rollinsville,Colorado,Gilpin,0,0,5441,0,1,0,10.3,0,82930,0,0,0,0.82,0,0.87,0,0.02,0,0.05,0
80442,80442,FRASER,Colorado,Grand,0,0,2911,0,0,0,17,0,66615,0,419.6389501,0,0.78,0,0.9,0,0.022,0,0.1,1
80446,80446,GRANBY,Colorado,Grand,0,0,4817,0,0,0,6.2,0,70179,0,0.836146185,0,0.78,0,0.9,0,0.022,0,0.1,1
80447,80447,GRAND LAKE,Colorado,Grand,1,0,7115,0,0,0,14,0,81635,0,1.453890769,0,0.78,0,0.9,0,0.022,0,0.1,1
80451,80451,HOT SULPHUR SPRINGS,Colorado,Grand,0,0,2911,0,0,0,17,0,66615,0,419.6389501,0,0.78,0,0.9,0,0.022,0,0.1,1
80459,80459,Kremmling,Colorado,Grand,0,0,4817,0,0,0,6.2,0,70179,0,0.836146185,0,0.78,0,0.9,0,0.022,0,0.1,1
80478,80478,TABERNASH,Colorado,Grand,0,0,4817,0,0,0,6.2,0,70179,0,0.836146185,0,0.78,0,0.9,0,0.022,0,0.1,1
80482,80482,WINTER PARK,Colorado,Grand,0,0,7115,0,0,0,14,0,81635,0,1.453890769,0,0.78,0,0.9,0,0.022,0,0.1,1
80449,80449,Hartsel,Colorado,Gunnison,0,0,905,0,0,0,12,0,73500,0,789.9340553,0,0.91,0,0.95,0,0.02,0,0.1,1
81220,81220,Cimarron,Colorado,Gunnison,0,0,3794,0,0,0,11,0,69148,0,476.7160007,0,0.91,0,0.95,0,0.02,0,0.1,1
81224,81224,CRESTED BUTTE,Colorado,Gunnison,1,0,3794,0,0,0,11,0,69148,0,476.7160007,0,0.91,0,0.95,0,0.02,0,0.1,1
81434,81434,SOMERSET,Colorado,Gunnison,0,0,4501,0,0,0,5.8,0,80833,0,89.55588796,0,0.91,0,0.95,0,0.02,0,0.1,1
81055,81055,LA VETA,Colorado,Huerfano,0,0,3438,0,0,0,15.2,0,66875,0,2458.932616,1,0.75,0,0.86,0,0.057,1,0.09,1
80437,80437,EVERGREEN,Colorado,Jefferson,0,0,7375,0,0,0,3.8,0,116471,0,0,0,0.99,0,0.83,1,0.026,0,0.07,0
80807,80807,BURLINGTON,Colorado,Kit Carson,0,0,5597,0,0,1,14.4,0,50949,1,278.5154379,0,0.88,0,0.82,1,0.018,0,0.13,1
80836,80836,STRATTON,Colorado,Kit Carson,0,0,1485,0,0,1,19.4,0,55000,1,227.0198975,0,0.81,0,0.82,1,0.018,0,0.13,1
81122,81122,BAYFIELD,Colorado,La Plata,0,0,5575,0,0,0,11.1,0,67378,0,73.97509292,0,0.78,0,0.83,1,0.025,0,0.1,1
81302,81302,DURANGO,Colorado,La Plata,0,0,4547,0,0,0,8.1,0,92575,0,296.2206339,0,0.78,0,0.83,1,0.025,0,0.1,1
81303,81303,DURANGO,Colorado,La Plata,0,0,8877,0,0,0,7.7,0,69641,0,605.2992506,0,0.78,0,0.83,1,0.025,0,0.1,1
80515,80515,Drake,Colorado,Larimer,0,0,3697,0,0,0,12.5,0,65104,0,0,0,0.93,0,0.79,1,0.024,0,0.07,0
80828,80828,Limon,Colorado,Lincoln,0,0,3363,0,0,0,16,0,61607,0,111.2390814,0,0.6,1,0.78,1,0.021,0,0.1,1
81524,81524,LOMA,Colorado,Mesa,0,0,7214,0,0,0,6.3,0,74449,0,428.2263326,0,0.78,0,0.76,1,0.04,1,0.09,1
81525,81525,MACK,Colorado,Mesa,0,0,3631,0,0,0,9.6,0,96989,0,0,0,0.78,0,0.76,1,0.04,1,0.09,1
81527,81527,WHITEWATER,Colorado,Mesa,0,0,2098,0,0,0,6.9,0,83478,0,0,0,0.78,0,0.76,1,0.04,1,0.09,1
81624,81624,COLLBRAN,Colorado,Mesa,0,0,2098,0,0,0,6.9,0,83478,0,0,0,0.78,0,0.76,1,0.04,1,0.09,1
81636,81636,Battlement Mesa,Colorado,Mesa,0,0,2098,0,0,0,6.9,0,83478,0,0,0,0.78,0,0.76,1,0.04,1,0.09,1
81643,81643,MESA,Colorado,Mesa,0,0,4455,0,0,0,10.9,0,61587,0,0,0,0.78,0,0.76,1,0.04,1,0.09,1
81327,81327,LEWIS,Colorado,Montezuma,0,0,3380,0,0,0,18.3,0,64292,0,120.4071126,0,0.79,0,0.74,1,0.04,1,0.13,1
81422,81422,NATURITA,Colorado,Montrose,0,0,2749,0,0,0,16.8,0,60114,0,279.469822,0,0.85,0,0.81,1,0.033,0,0.12,1
80654,80654,WIGGINS,Colorado,Morgan,0,0,2600,0,0,0,1.7,0,83021,0,446.8176434,0,0.73,0,0.84,1,0.024,0,0.12,1
80723,80723,Brush,Colorado,Morgan,0,0,1809,0,0,0,12.9,0,62188,0,177.3669473,0,0.73,0,0.84,1,0.024,0,0.12,1
81067,81067,ROCKY FORD,Colorado,Otero,0,0,1617,0,0,1,18.8,0,45417,1,0,0,0.59,1,0.91,0,0.041,1,0.11,1
81069,81069,ROCKY FORD,Colorado,Otero,0,0,1617,0,0,1,18.8,0,45417,1,0,0,0.59,1,0.91,0,0.041,1,0.11,1
81427,81427,Ouray,Colorado,Ouray,0,0,4436,0,0,0,7.4,0,71094,0,273.4790428,0,0.69,1,0.93,0,0.029,0,0.09,1
81432,81432,RIDGWAY,Colorado,Ouray,0,0,4436,0,0,0,7.4,0,71094,0,273.4790428,0,0.69,1,0.93,0,0.029,0,0.09,1
80421,80421,BAILEY,Colorado,Park,0,0,5587,0,0,0,7.6,0,76230,0,3285.175229,1,0.72,0,0.88,0,0.024,0,0.1,1
80432,80432,Como,Colorado,Park,1,0,3647,0,0,0,2,0,85972,0,2149.868343,1,0.72,0,0.88,0,0.024,0,0.1,1
80440,80440,Fairplay,Colorado,Park,0,0,2694,0,0,0,9.7,0,68214,0,10.92286888,0,0.72,0,0.88,0,0.024,0,0.1,1
80731,80731,HAXTUN,Colorado,Phillips,0,0,3011,0,0,1,22.4,1,59076,0,139.6268298,0,0.82,0,0.93,0,0.017,0,0.13,1
81611,81611,ASPEN,Colorado,Pitkin,1,0,4471,0,1,0,6.2,0,110588,0,970.6188634,0,0.94,0,0.93,0,0.031,0,0.12,1
81612,81612,ASPEN,Colorado,Pitkin,0,0,2563,0,0,0,4.7,0,100956,0,19.03237066,0,0.94,0,0.93,0,0.031,0,0.12,1
81623,81623,Marble,Colorado,Pitkin,1,0,2433,0,0,0,8.7,0,84115,0,102.3578059,0,0.94,0,0.93,0,0.031,0,0.12,1
81641,81641,MEEKER,Colorado,Rio Blanco,0,0,3858,0,0,0,19.6,0,70592,0,442.693961,0,0.95,0,0.98,0,0.039,1,0.09,1
81648,81648,RANGELY,Colorado,Rio Blanco,0,0,2808,0,0,0,12.2,0,79297,0,129.5332911,0,0.95,0,0.98,0,0.039,1,0.09,1
81132,81132,DEL NORTE,Colorado,Rio Grande,0,0,1930,0,0,1,29.5,1,34028,1,0,0,0.78,0,0.85,0,0.043,1,0.12,1
80428,80428,Clark,Colorado,Routt,0,0,2151,0,0,0,5.2,0,72222,0,1137.546237,1,0.81,0,0.94,0,0.024,0,0.08,0
80479,80479,Toponas,Colorado,Routt,0,0,1951,0,0,0,13.2,0,76875,0,103.9928225,0,0.81,0,0.94,0,0.024,0,0.08,0
81639,81639,HAYDEN,Colorado,Routt,0,0,2151,0,0,0,5.2,0,72222,0,1137.546237,1,0.81,0,0.94,0,0.024,0,0.08,0
81149,81149,Saguache,Colorado,Saguache ,0,0,2965,0,0,1,30.7,1,39167,1,198.2966874,0,0.48,1,0.8,1,0.044,1,0.17,1
81423,81423,NORWOOD,Colorado,San Miguel,0,0,2239,0,0,0,10.7,0,72574,0,0,0,0.82,0,0.97,0,0.029,0,0.11,1
81424,81424,NUCLA,Colorado,San Miguel,0,0,1620,0,0,0,11.6,0,97083,0,0,0,0.82,0,0.97,0,0.029,0,0.11,1
81435,81435,TELLURIDE,Colorado,San Miguel,0,0,2006,0,0,0,6,0,82114,0,531.8549073,0,0.82,0,0.97,0,0.029,0,0.11,1
80424,80424,BRECKENRIDGE,Colorado,Summit,1,0,7406,0,0,0,10.9,0,93597,0,241.9958097,0,1,0,0.95,0,0.019,0,0.11,1
80435,80435,DILLON,Colorado,Summit,1,0,7285,0,1,1,25.9,1,85253,0,4.714924584,0,1,0,0.95,0,0.019,0,0.11,1
80443,80443,Frisco,Colorado,Summit,1,0,3676,0,0,0,9.3,0,78889,0,2.218373604,0,1,0,0.95,0,0.019,0,0.11,1
80816,80816,Florissant,Colorado,Teller,0,0,2674,0,0,1,10.8,0,57287,1,1.86707285,0,0.81,0,0.76,1,0.032,0,0.08,0
80863,80863,WOODLAND PARK,Colorado,Teller,0,0,6045,0,0,0,6.9,0,88505,0,145.0854986,0,0.81,0,0.76,1,0.032,0,0.08,0
80863,80863,WOODLAND PARK,Colorado,Teller,0,0,6045,0,0,0,6.9,0,88505,0,145.0854986,0,0.81,0,0.76,1,0.032,0,0.08,0
80743,80743,Otis,Colorado,Washington,0,0,2665,0,0,1,12.5,0,51944,1,460.1903522,0,0.44,1,0.92,0,0.019,0,0.1,1
80611,80611,Briggsdale,Colorado,Weld,0,0,1541,0,0,1,26.1,1,43958,1,0,0,0.8,0,0.82,1,0.027,0,0.09,1
80615,80615,Severance,Colorado,Weld,0,0,1999,0,0,0,3.2,0,113073,0,0,0,0.8,0,0.82,1,0.027,0,0.09,1
80644,80644,Kersey,Colorado,Weld,0,0,4346,0,0,0,13,0,77125,0,365.4200988,0,0.8,0,0.82,1,0.027,0,0.09,1
80652,80652,Roggen,Colorado,Weld,0,0,4222,0,0,0,14.9,0,67738,0,241.0830773,0,0.8,0,0.82,1,0.027,0,0.09,1
32250,32250,Jacksonville ,Florida,Duval,0,0,5483,0,1,1,21.8,1,46406,1,183.367471,0,0.94,0,0.8,1,0.041,1,0.13,1
33040,33040,Key West,Florida,Monroe,1,0,1286,0,0,0,17.4,0,141750,0,0,0,1,0,0.8,1,0.033,0,0.2,1
33513,33513,Bushnell,Florida,Sumter,0,0,2681,0,0,0,19.9,0,54417,1,0,0,0.81,0,0.85,0,0.06,1,0.12,1
83462,83462,CARMEN,Idaho,Lemhi,0,0,2487,0,0,1,21.8,1,52409,1,189.6818876,0,0.88,0,0.63,1,0.36,1,0.13,1
62031,62031,Fieldon,Illinois,Jersey,0,0,5150,0,0,0,13.4,0,60750,0,136.2937103,0,0.64,1,0.86,0,0.047,1,0.05,0
66039,66039,Kincaid,Kansas,Anderson,0,0,5104,0,1,0,16.5,0,53577,1,37.49657868,0,0.55,1,0.94,0,0.04,1,0.11,1
66093,66093,Westphalia,Kansas,Anderson,0,0,2998,0,0,0,12.1,0,61838,0,1461.329579,1,0.55,1,0.94,0,0.04,1,0.11,1
67104,67104,MEDICINE LODGE,Kansas,Barber,0,0,3138,0,0,0,12.8,0,56705,1,428.3915107,0,0.55,1,0.93,0,0.029,0,0.11,1
67526,67526,ELLINWOOD,Kansas,Barton,0,0,3971,0,0,0,10.9,0,66094,0,2357.120759,1,0.75,0,0.85,0,0.036,0,0.12,1
67530,67530,GREAT BEND,Kansas,Barton,0,0,1704,0,0,0,10.6,0,55000,1,563.1447306,0,0.75,0,0.85,0,0.036,0,0.12,1
66434,66434,HIAWATHA,Kansas,Brown,0,0,3459,0,0,0,16.7,0,53690,1,32.70979614,0,0.56,1,0.86,0,0.032,0,0.11,1
67042,67042,EL DORADO,Kansas,Butler,0,0,6253,0,0,0,8.7,0,71566,0,2702.397256,1,0.68,1,0.88,0,0.038,1,0.08,0
67731,67731,BIRD CITY,Kansas,Cheyenne,0,0,2726,0,0,0,8.8,0,55352,1,260.5139534,0,0.7,0,0.87,0,0.026,0,0.12,1
67756,67756,SAINT FRANCIS,Kansas,Cheyenne,0,0,2726,0,0,0,8.8,0,55352,1,260.5139534,0,0.7,0,0.87,0,0.026,0,0.12,1
67432,67432,OAKHILL,Kansas,Clay,0,0,3894,0,0,0,10.1,0,67591,0,2260.64136,1,0.75,0,0.94,0,0.038,1,0.07,0
66839,66839,BURLINGTON,Kansas,Coffey,0,0,2703,0,0,0,7.5,0,69450,0,1373.55772,1,0.58,1,0.93,0,0.053,1,0.07,0
66857,66857,LE ROY,Kansas,Coffey,0,0,2947,0,0,0,7,0,69698,0,1714.571673,1,0.58,1,0.93,0,0.053,1,0.07,0
66871,66871,WAVERLY,Kansas,Coffey,0,0,2947,0,0,0,7,0,69698,0,1714.571673,1,0.58,1,0.93,0,0.053,1,0.07,0
67005,67005,ARKANSAS CITY,Kansas,Cowley,0,0,2729,0,0,0,12.1,0,57257,1,2101.667282,1,0.71,0,0.88,0,0.038,1,0.11,1
67410,67410,ABILENE,Kansas,Dickinson,0,0,4058,0,0,0,10.6,0,68798,0,295.2119091,0,0.47,1,0.92,0,0.038,1,0.09,1
66024,66024,Elwood,Kansas,Doniphan,0,0,2308,0,0,0,13.2,0,59766,0,2300.450931,1,0.28,1,0.89,0,0.035,0,0.1,1
66035,66035,Highland,Kansas,Doniphan,0,0,2188,0,0,0,7.5,0,66813,0,1893.51433,1,0.28,1,0.89,0,0.035,0,0.1,1
67637,67637,ELLIS,Kansas,Ellis,0,0,2785,0,0,0,8.3,0,67734,0,523.6567399,0,0.9,0,0.9,0,0.025,0,0.08,0
66067,66067,OTTAWA,Kansas,Franklin,0,0,6821,0,0,0,11.4,0,66641,0,1066.251483,1,0.56,1,0.89,0,0.037,0,0.08,0
67879,67879,TRIBUNE,Kansas,Greeley,0,0,1247,0,0,0,13.6,0,59250,0,1246.999999,1,0,1,0.88,0,0.018,0,0.15,1
67045,67045,EUREKA,Kansas,Greenwood,0,0,2162,0,0,0,15.7,0,57250,1,1788.864252,1,0.6,1,1,0,0.043,1,0.11,1
67117,67117,North Newton,Kansas,Harvey,0,0,4611,0,1,1,23.6,1,55774,1,0,0,0.75,0,0.89,0,0.04,1,0.1,1
66416,66416,CIRCLEVILLE,Kansas,Jackson,0,0,5389,0,0,0,7.5,0,69962,0,346.553125,0,0.49,1,0.94,0,0.031,0,0.09,1
66419,66419,DENISON,Kansas,Jackson,0,0,4068,0,0,0,9.6,0,64448,0,1452.945253,1,0.49,1,0.94,0,0.031,0,0.09,1
66436,66436,HOLTON,Kansas,Jackson,0,0,5389,0,0,0,7.5,0,69962,0,346.553125,0,0.49,1,0.94,0,0.031,0,0.09,1
66440,66440,HOYT,Kansas,Jackson,0,0,4068,0,0,0,9.6,0,64448,0,1452.945253,1,0.49,1,0.94,0,0.031,0,0.09,1
66509,66509,MAYETTA,Kansas,Jackson,0,0,5389,0,0,0,7.5,0,69962,0,346.553125,0,0.49,1,0.94,0,0.031,0,0.09,1
66540,66540,SOLDIER,Kansas,Jackson,0,0,4068,0,0,0,9.6,0,64448,0,1452.945253,1,0.91,0,0.86,0,0.37,1,0.09,1
66552,66552,WHITING,Kansas,Jackson,0,0,4068,0,0,0,9.6,0,64448,0,1452.945253,1,0.91,0,0.86,0,0.37,1,0.09,1
66060,66060,NORTONVILLE,Kansas,Jefferson,0,0,4030,0,0,0,9,0,63177,0,163.7857105,0,0.55,1,0.93,0,0.036,0,0.09,1
66066,66066,OSKALOOSA,Kansas,Jefferson,0,0,5663,0,0,0,11.2,0,66189,0,0,0,0.55,1,0.93,0,0.036,0,0.09,1
66070,66070,OZAWKIE,Kansas,Jefferson,0,0,6178,0,0,0,3.5,0,73036,0,0,0,0.55,1,0.93,0,0.036,0,0.09,1
66088,66088,VALLEY FALLS,Kansas,Jefferson,0,0,3255,0,0,0,8,0,74688,0,0,0,0.55,1,0.93,0,0.036,0,0.09,1
66097,66097,Winchester,Kansas,Jefferson,0,0,3255,0,0,0,8,0,74688,0,0,0,0.55,1,0.93,0,0.036,0,0.09,1
66429,66429,GRANTVILLE,Kansas,Jefferson,0,0,6178,0,0,0,3.5,0,73036,0,0,0,0.55,1,0.93,0,0.036,0,0.09,1
66512,66512,MERIDEN,Kansas,Jefferson,0,0,3255,0,0,0,8,0,74688,0,0,0,0.55,1,0.93,0,0.036,0,0.09,1
67748,67748,OAKLEY,Kansas,Logan,0,0,2756,0,0,0,9.1,0,64324,0,502.559402,0,0.76,0,0.87,0,0.021,0,0.09,1
67761,67761,Wallace,Kansas,Logan,0,0,2756,0,0,0,9.1,0,64324,0,502.559402,0,0.76,0,0.94,0,0.021,0,0.09,1
66865,66865,OLPE,Kansas,Lyon,0,0,2462,0,0,0,12.2,0,63393,0,1286.988031,1,0.58,1,0.88,0,0.038,1,0.13,1
66406,66406,BEATTIE,Kansas,Marshall,0,0,1822,0,0,0,12.5,0,54250,1,77.18972776,0,0.5,1,0.81,1,0.028,0,0.09,1
66427,66427,FRANKFORT,Kansas,Marshall,0,0,2361,0,0,0,16.7,0,55651,1,8.40887423,0,0.5,1,0.81,1,0.028,0,0.09,1
66508,66508,MARYSVILLE,Kansas,Marshall,0,0,2353,0,0,0,11.5,0,66806,0,1140.746295,1,0.5,1,0.81,1,0.028,0,0.09,1
66544,66544,VERMILLION,Kansas,Marshall,0,0,2353,0,0,0,11.5,0,66806,0,1140.746295,1,0.5,1,0.81,1,0.028,0,0.09,1
67464,67464,MARQUETTE,Kansas,McPherson,0,0,2966,0,0,0,10.3,0,65046,0,1167.66255,1,0.74,0,0.92,0,0.028,0,0.09,1
67337,67337,COFFEYVILLE,Kansas,Montgomery,0,0,2126,0,0,0,9.1,0,55865,1,423.4481839,0,0.75,0,0.87,0,0.052,1,0.12,1
66846,66846,COUNCIL GROVE,Kansas,Morris,0,0,3407,0,0,0,7.2,0,65208,0,1952.188875,1,0.53,1,0.93,0,0.031,0,0.1,1
66428,66428,GOFF,Kansas,Nemaha,0,0,4149,0,0,0,9,0,62813,0,57.56776267,0,0.41,1,0.93,0,0.024,0,0.08,0
66534,66534,SABETHA,Kansas,Nemaha,0,0,2564,0,0,0,15.4,0,59107,0,1357.845369,1,0.41,1,0.93,0,0.024,0,0.08,0
66538,66538,SENECA,Kansas,Nemaha,0,0,4149,0,0,0,9,0,62813,0,57.56776267,0,0.41,1,0.93,0,0.024,0,0.08,0
66538,66538,SENECA,Kansas,Nemaha,0,0,4149,0,0,0,9,0,62813,0,57.56776267,0,0.41,1,0.93,0,0.024,0,0.08,0
66550,66550,WETMORE,Kansas,Nemaha,0,0,2564,0,0,0,15.4,0,59107,0,1357.845369,1,0.41,1,0.93,0,0.024,0,0.08,0
66550,66550,WETMORE,Kansas,Nemaha,0,0,2564,0,0,0,15.4,0,59107,0,1357.845369,1,0.41,1,0.93,0,0.024,0,0.08,0
66733,66733,Erie,Kansas,Neosho,0,0,3933,0,0,0,15.2,0,60972,0,157.7033908,0,0.74,0,0.92,0,0.052,1,0.08,0
66413,66413,BURLINGAME,Kansas,Osage,0,0,4391,0,0,0,9.8,0,64495,0,0,0,0.64,1,0.86,0,0.04,1,0.1,1
66414,66414,CARBONDALE,Kansas,Osage,0,0,2893,0,0,0,11.3,0,54492,1,189.6675234,0,0.64,1,0.86,0,0.04,1,0.1,1
66451,66451,LYNDON,Kansas,Osage,0,0,2074,0,0,0,10.5,0,63906,0,1089.684895,1,0.64,1,0.86,0,0.04,1,0.1,1
66523,66523,OSAGE CITY,Kansas,Osage,0,0,3872,0,0,0,12.5,0,63365,0,760.9569429,0,0.64,1,0.86,0,0.04,1,0.1,1
66524,66524,OVERBROOK,Kansas,Osage,0,0,4391,0,0,0,9.8,0,64495,0,0,0,0.64,1,0.86,0,0.04,1,0.1,1
66528,66528,QUENEMO,Kansas,Osage,0,0,2893,0,0,0,11.3,0,54492,1,189.6675234,0,0.64,1,0.86,0,0.04,1,0.1,1
66537,66537,SCRANTON,Kansas,Osage,0,0,2074,0,0,0,10.5,0,63906,0,1089.684895,1,0.64,1,0.86,0,0.04,1,0.1,1
67484,67484,TESCOTT,Kansas,Ottawa,0,0,3924,0,0,0,10.5,0,64232,0,1138.335462,1,0.41,1,0.9,0,0.031,0,0.08,0
67646,67646,LOGAN,Kansas,Phillips,0,0,1555,0,0,0,13.1,0,58750,1,1214.065421,1,0.57,1,1,0,0.03,0,0.1,1
66422,66422,Emmett,Kansas,Pottawatomie,0,0,7359,0,0,0,12.7,0,82574,0,0.185248129,0,0.69,1,0.93,0,0.031,0,0.07,0
66432,66432,HAVENSVILLE,Kansas,Pottawatomie,0,0,7359,0,0,0,12.7,0,82574,0,0.185248129,0,0.69,1,0.93,0,0.031,0,0.07,0
66521,66521,ONAGA,Kansas,Pottawatomie,0,0,5549,0,0,0,6.2,0,68850,0,0,0,0.69,1,0.93,0,0.031,0,0.07,0
66535,66535,St. George,Kansas,Pottawatomie,0,0,5549,0,0,0,6.2,0,68850,0,0,0,0.69,1,0.93,0,0.031,0,0.07,0
66536,66536,ST MARYS,Kansas,Pottawatomie,0,0,4496,0,0,0,11.5,0,57557,1,64.27478901,0,0.69,1,0.93,0,0.031,0,0.07,0
66547,66547,WAMEGO,Kansas,Pottawatomie,0,0,4200,0,0,0,7,0,69241,0,510.5169309,0,0.69,1,0.93,0,0.031,0,0.07,0
66549,66549,WESTMORELAND,Kansas,Pottawatomie,0,0,4496,0,0,0,11.5,0,57557,1,64.27478901,0,0.69,1,0.93,0,0.031,0,0.07,0
67730,67730,Atwood,Kansas,Rawlins,0,0,2519,0,0,0,11.9,0,55855,1,715.0675463,0,0.59,1,0.96,0,0.023,0,0.14,1
67744,67744,Luddell,Kansas,Rawlins,0,0,2519,0,0,0,11.9,0,55855,1,715.0675463,0,0.59,1,0.96,0,0.023,0,0.14,1
67548,67548,LA CROSSE,Kansas,Rush,0,0,2074,0,0,0,12.5,0,52750,1,0,0,0.42,1,0.8,1,0.032,0,0.1,1
66603,66603,TOPEKA,Kansas,Shawnee,1,0,3255,0,0,1,22.5,1,44554,1,0,0,0.91,0,0.86,0,0.037,0,0.09,1
67757,67757,SELDEN,Kansas,Sheridan,0,0,1221,0,0,0,10.9,0,60625,0,820.1420596,0,0.64,1,0.95,0,0.023,0,0.16,1
67735,67735,GOODLAND,Kansas,Sherman,0,0,1119,0,0,0,9.6,0,64861,0,673.2438538,0,0.82,0,0.83,1,0.029,0,0.1,1
67701,67701,COLBY,Kansas,Thomas,0,0,1982,0,0,0,8.2,0,69745,0,1093.068454,1,0.79,0,0.86,0,0.026,0,0.09,1
67734,67734,Gem,Kansas,Thomas,0,0,1982,0,0,0,8.2,0,69745,0,1093.068454,1,0.79,0,0.86,0,0.026,0,0.09,1
67672,67672,WAKEENEY,Kansas,Trego,0,0,3001,0,0,0,6.5,0,57017,1,214.8515795,0,0.71,0,0.88,0,0.033,0,0.08,0
66401,66401,ALMA,Kansas,Wabaunsee,0,0,4509,0,0,0,7.3,0,62530,0,2679.607505,1,0.34,1,0.92,0,0.032,0,0.08,0
66431,66431,HARVEYVILLE,Kansas,Wabaunsee,0,0,2544,0,0,0,4.3,0,68966,0,267.3118722,0,0.34,1,0.92,0,0.032,0,0.08,0
66501,66501,MC FARLAND,Kansas,Wabaunsee,0,0,4509,0,0,0,7.3,0,62530,0,2679.607505,1,0.34,1,0.92,0,0.032,0,0.08,0
66507,66507,MAPLE HILL,Kansas,Wabaunsee,0,0,4509,0,0,0,7.3,0,62530,0,2679.607505,1,0.34,1,0.92,0,0.032,0,0.08,0
66526,66526,PAXICO,Kansas,Wabaunsee,0,0,2544,0,0,0,4.3,0,68966,0,267.3118722,0,0.34,1,0.92,0,0.032,0,0.08,0
67863,67863,Modoc,Kansas,Wichita,0,0,2234,0,0,0,10.2,0,59621,0,2233.999998,1,0.74,0,0.94,0,0.024,0,0.19,1
66736,66736,Fredonia,Kansas,Wilson,0,0,2084,0,0,0,18.3,0,54205,1,556.1989453,0,0.58,1,0.84,1,0.047,1,0.11,1
66757,66757,Neodesha,Kansas,Wilson,0,0,1525,0,0,1,14.1,0,48750,1,118.1621811,0,0.58,1,0.84,1,0.047,1,0.11,1
41555,41555,Pinsonfork,Kentucky,Pike,0,0,3164,0,1,1,29.3,1,40245,1,0,0,0.43,1,0.97,0,0.079,1,0.07,0
71459,71459,Fort Polk,Louisiana,Vernon,0,0,5447,0,0,0,14.9,0,61852,0,2961.067079,1,0.93,0,0.77,1,0.04,1,0.16,1
48314,48314,Sterling Heights,Michigan,Oakland,0,0,3115,0,0,0,10.7,0,75493,0,0,0,0.94,0,0.9,0,0.034,0,0.05,0
56470,56470,Park Rapids ,Minnesota,Hubbard,0,0,4711,0,0,0,11.2,0,65913,0,1241.515737,1,0.58,1,0.76,1,0.056,1,0.06,0
39180,39180,Vicksburg,Mississippi,Warren,1,0,5458,0,1,0,17.2,0,67364,0,860.8449738,0,0.64,1,0.72,1,0.057,1,0.12,1
64427,64427,Bolckow,Missouri,Andrew,0,0,5439,0,0,0,7.7,0,76194,0,69.01665705,0,0.63,1,0.95,0,0.031,0,0.1,1
63901,63901,Poplar Bluff,Missouri,Butler,0,0,5397,0,0,0,12.4,0,59030,1,162.1085043,0,0.72,0,0.93,0,0.046,1,0.13,1
59746,59746,Polaris,Montana,Beaverhead,0,0,3470,0,0,0,9.8,0,62739,0,340.2851794,0,0.67,1,0.95,0,0.031,0,0.11,1
59016,59016,BUSBY,Montana,Big Horn,1,0,4522,0,0,0,19.2,0,57500,1,274.8286612,0,0.59,1,0.7,1,0.134,1,0.18,1
59050,59050,LODGE GRASS,Montana,Big Horn,1,0,4522,0,0,0,19.2,0,57500,1,274.8286612,0,0.59,1,0.7,1,0.134,1,0.18,1
59523,59523,Chinook,Montana,Blaine,0,0,1353,0,0,1,28.3,1,44813,1,385.0403237,0,0.37,1,0.83,1,0.041,1,0.17,1
59526,59526,Harlem,Montana,Blaine,0,0,2410,0,0,0,16.4,0,51848,1,415.719955,0,0.37,1,0.83,1,0.041,1,0.17,1
59527,59527,Hays,Montana,Blaine,0,0,1398,0,0,1,35.8,1,30208,1,77.00691621,0,0.37,1,0.83,1,0.041,1,0.17,1
59530,59530,Inverness,Montana,Blaine,0,0,1353,0,0,1,28.3,1,44813,1,385.0403237,0,0.37,1,0.83,1,0.041,1,0.17,1
59542,59542,Turner,Montana,Blaine,0,0,2410,0,0,0,16.4,0,51848,1,415.719955,0,0.37,1,0.83,1,0.041,1,0.17,1
59644,59644,Townsend,Montana,Broadwater,1,0,2077,0,0,1,16.8,0,45208,1,0,0,0.6,1,0.83,1,0.047,1,0.11,1
59008,59008,Belfry,Montana,Carbon,0,0,2487,0,0,0,7.5,0,60598,0,1856.073451,1,0.45,1,0.98,0,0.037,0,0.11,1
59013,59013,Boyd,Montana,Carbon,0,0,1756,0,0,0,10.6,0,60250,0,93.37493686,0,0.45,1,0.98,0,0.037,0,0.11,1
59014,59014,Bridger,Montana,Carbon,0,0,2222,0,0,0,18.5,0,64034,0,0,0,0.45,1,0.98,0,0.037,0,0.11,1
59029,59029,Fromberg,Montana,Carbon,0,0,2259,0,0,0,7.5,0,70273,0,1214.854319,1,0.45,1,0.98,0,0.037,0,0.11,1
